"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"71",  1.303992,103.809860,  1.305643,103.811526,  1.302945,103.808828,"OPERATIONAL","Dempsey Hill","ChIJr84_RCMa2jERW466IPXbCec",8R35+HW Singapore,6PH58R35+HW,"8D Dempsey Road, #03-01",4.4,NA
"72",  1.305578,103.788201,  1.306873,103.789480,  1.304175,103.786782,"OPERATIONAL","Rochester mall","ChIJEaBAGEMa2jERttBFiHpl_UE",8Q4Q+67 Singapore,6PH58Q4Q+67,"35 Rochester Drive",3.9,NA
"73",  1.304118,103.791554,  1.305373,103.792954,  1.302675,103.790256,"OPERATIONAL","metropolis park","ChIJPzfo7kMa2jERv4yDwaidbyM",8Q3R+JJ Singapore,6PH58Q3R+JJ,"Biopolis Way",NA,NA
"74",  1.304844,103.823828,  1.306270,103.825019,  1.303572,103.822321,"OPERATIONAL","Tanglin Mall","ChIJmXU4W4oZ2jERDul4uxP0pYc",8R3F+WG Singapore,6PH58R3F+WG,"163 Tanglin Road, Singapore",4.1,NA
"75",  1.322582,103.814231,  1.324004,103.815771,  1.321306,103.813073,"OPERATIONAL","Cluny Court","ChIJkQ-vvQYa2jERe6WZR9ehHXI",8RF7+2M Singapore,6PH58RF7+2M,"501 Bukit Timah Road",4.1,NA
"76",  1.322539,103.813641,  1.323926,103.815069,  1.321228,103.812371,"OPERATIONAL","Serene Centre","ChIJHVLCmgYa2jERzRfP7gF6JiA",8RF7+2F Singapore,6PH58RF7+2F,"10 Jalan Serene",3.8,NA
"77",  1.310778,103.796116,  1.312192,103.797472,  1.309494,103.794774,"OPERATIONAL","Raffles Holland V","ChIJq6paa2sa2jERGfrc3WrL4Xo",8Q6W+8C Singapore,6PH58Q6W+8C,"118 Holland Avenue, Singapore",NA,NA
"78",  1.310558,103.796182,  1.311943,103.797384,  1.309245,103.794686,"OPERATIONAL","Raffles Holland V Mall","ChIJf2SJA2sa2jERSrwcPU_QRvI",8Q6W+6F Singapore,6PH58Q6W+6F,"118 Holland Avenue, Singapore",3.9,NA
"79",  1.310683,103.795228,  1.312144,103.796626,  1.309446,103.793928,"OPERATIONAL","Holland Piazza","ChIJHT9PqWsa2jER7cXRi00lkjY",8Q6W+73 Singapore,6PH58Q6W+73,"3 Lorong Liput",4.2,NA
"80",  1.310520,103.795437,  1.311885,103.796754,  1.309187,103.794056,"OPERATIONAL","Petpawroni","ChIJ0TCbSrQb2jERrRQYC1_zC2s",8Q6W+65 Singapore,6PH58Q6W+65,"211 Holland Avenue #B1-01 Holland Road Shopping Centre",NA,NA
"81",  1.310205,103.795300,  1.311905,103.796837,  1.309207,103.794139,"OPERATIONAL","Holland Road Shopping Centre","ChIJdaebOlQb2jER3_TYSDr4w5U",8Q6W+34 Singapore,6PH58Q6W+34,"211 Holland Avenue",4.0,NA
"82",  1.310073,103.795202,  1.311337,103.796511,  1.308639,103.793813,"OPERATIONAL","L Hair Salon Singapore","ChIJE-t1G2sb2jERSedTgLE9eGA",8Q6W+23 Singapore,6PH58Q6W+23,"211 Holland Avenue, Holland Road, shopping Centre, 03-40",5.0,NA
"83",  1.309746,103.795145,  1.311155,103.796522,  1.308457,103.793824,"OPERATIONAL","Holland","ChIJUeymYgMb2jERhfuXfo-wUuk",8Q5W+V3 Singapore,6PH58Q5W+V3,"Holland Avenue",NA,NA
"84",  1.317742,103.785949,  1.319117,103.787308,  1.316419,103.784610,"OPERATIONAL","Jelita Shopping Centre","ChIJ384ysnoa2jERKsZa9sD5dk8",8Q9P+39 Singapore,6PH58Q9P+39,"293 Holland Road",4.2,NA
"85",  1.310724,103.788628,  1.312203,103.790026,  1.309505,103.787328,"OPERATIONAL","HS Dominion Resources Maid Agency","ChIJ2_sAGCkb2jER1dMcMEgIeHI",8Q6Q+7F Singapore,6PH58Q6Q+7F,"21 Ghim Moh Road, #01-199",NA,NA
"86",  1.304900,103.798052,  1.306176,103.799474,  1.303478,103.796776,"OPERATIONAL","DI4Y","ChIJfTEknLEb2jERU5jqka8y1PM",8Q3X+X6 Singapore,6PH58Q3X+X6,"Commonwealth",NA,NA
"87",  1.301371,103.798449,  1.302944,103.799984,  1.300246,103.797286,"OPERATIONAL","升松超市","ChIJ-VGMkpsb2jERetOXuxWRYFg",8Q2X+G9 Singapore,6PH58Q2X+G9,"Commonwealth Avenue",4.0,NA
"88",  1.299524,103.788698,  1.300877,103.790036,  1.298180,103.787338,"OPERATIONAL","Fushionpolis connexis building","ChIJ27uORH8b2jER5QyoVQN2wd0",7QXQ+RF Singapore,6PH57QXQ+RF,"02 Fusionopolis Way",NA,NA
"89",  1.298960,103.789754,  1.300256,103.790937,  1.297558,103.788239,"OPERATIONAL","Free​fire​","ChIJlzLofSEb2jERYeF5iWfVzWI",7QXQ+HW Singapore,6PH57QXQ+HW,"1 Fusionopolis Link",4.1,NA
"90",  1.304776,103.823403,  1.306331,103.824685,  1.303633,103.821987,"OPERATIONAL","Body Matters Private","ChIJVaxrUIoZ2jERzPMNkPuA_YY",8R3F+W9 Singapore,6PH58R3F+W9,"163 Tanglin Road, Tanglin Mall",NA,NA
"91",  1.305162,103.824369,  1.306602,103.825716,  1.303904,103.823018,"OPERATIONAL","Tudor Court","ChIJUQIaU4oZ2jERnaLehmPG6pw",8R4F+3P Singapore,6PH58R4F+3P,"131 Tanglin Road",4.2,NA
"92",  1.314621,103.771597,  1.315970,103.772946,  1.313272,103.770248,"OPERATIONAL","Clementi Avenue 2 Neighbourhood Centre","ChIJ__8PEIka2jERLXwoyU1uBeQ",8Q7C+RJ Singapore,6PH58Q7C+RJ,"352 Clementi Avenue 2, Singapore",3.8,NA
"93",  1.305310,103.825096,  1.306652,103.826311,  1.303954,103.823613,"OPERATIONAL","Tanglin Place","ChIJt10jr4sZ2jERo_UCZbIlPvE",8R4G+42 Singapore,6PH58R4G+42,"91 Tanglin Road, Singapore",3.8,NA
"94",  1.292647,103.810753,  1.293969,103.812194,  1.291271,103.809496,"OPERATIONAL","Dawson Place","ChIJcdUlky0a2jERHuQ4kJzl9vA",7RV6+38 Singapore,6PH57RV6+38,"57 Dawson Road",3.9,NA
"95",  1.306246,103.826551,  1.307670,103.827810,  1.304972,103.825112,"OPERATIONAL","Tanglin Shopping Centre","ChIJlaNqr-0Z2jER84VXgF37kD4",8R4G+FJ Singapore,6PH58R4G+FJ,"19 Tanglin Road, #02-43B",3.6,NA
"96",  1.313528,103.770778,  1.314973,103.771977,  1.312275,103.769279,"OPERATIONAL","D'Alum & Glass","ChIJP6faQoka2jER4J39lmidJ7U",8Q7C+C8 Singapore,6PH58Q7C+C8,"",NA,NA
"97",  1.306226,103.826607,  1.307678,103.827864,  1.304980,103.825166,"OPERATIONAL","Tangling","ChIJ45bnotoZ2jERWQI96dhILFw",8R4G+FJ Singapore,6PH58R4G+FJ,"37 Tanglin Road, Singapore",NA,NA
"98",  1.306226,103.826607,  1.307678,103.827864,  1.304980,103.825166,"OPERATIONAL","Bless Amulet Clan","ChIJfak5AOAZ2jERpjiDRuU1AHE",8R4G+FJ Singapore,6PH58R4G+FJ,"19 Tanglin Road, #03-19",NA,NA
"99",  1.306367,103.826852,  1.307722,103.827986,  1.305024,103.825289,"OPERATIONAL","Oriental Treasures","ChIJp-GkZosZ2jERuJp5e96wHbI",8R4G+GP Singapore,6PH58R4G+GP,"19 Tanglin Road, Singapore",1.0,NA
"100",  1.293344,103.827141,  1.294527,103.828126,  1.291829,103.825428,"OPERATIONAL","Valley Point","ChIJLZ9oWoEZ2jERwxPWGD_Zpnw",7RVG+8V Singapore,6PH57RVG+8V,"491 River Valley Road",3.9,NA
"101",  1.288771,103.805076,  1.290295,103.806696,  1.287597,103.803998,"OPERATIONAL","Anchorpoint Shopping Centre","ChIJVXvuuswb2jER8BZU_kcS2ds",7RQ4+G2 Singapore,6PH57RQ4+G2,"370 Alexandra Road",3.9,NA
"102",  1.291300,103.813791,  1.292610,103.815093,  1.289912,103.812395,"OPERATIONAL","Bettalife International (S) Pte Ltd","ChIJd0hblXwa2jER_fVz9_JnnCM",7RR7+GG Singapore,6PH57RR7+GG,"277 Orchard Road, #04-13A orchardgateway, Singapore",3.0,NA
"103",  1.287377,103.805202,  1.288596,103.806500,  1.285898,103.803802,"OPERATIONAL","Alexandra Central Mall","ChIJ_1WtiMwb2jERZKYs6ALsFxc",7RP4+X3 Singapore,6PH57RP4+X3,"321 Alexandra Road",3.7,NA
"104",  1.273914,103.801501,  1.275047,103.802699,  1.272349,103.800001,"OPERATIONAL","Alexandra Retail Centre","ChIJwz3yHMEb2jERHclcbs5KL4A",7RF2+HJ Singapore,6PH57RF2+HJ,"460 Alexandra Road, Singapore",4.0,NA
"105",  1.279720,103.785992,  1.280762,103.787418,  1.278064,103.784720,"OPERATIONAL","Viva Vista Shopping Mall","ChIJr1piWqUb2jERe2fPwBJvucU",7QHP+V9 Singapore,6PH57QHP+V9,"3 South Buona Vista Road, Singapore",3.5,NA
