"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1283",  1.334749,103.740062,  1.336007,103.741393,  1.333309,103.738695,"OPERATIONAL","Cool Station Pte. Ltd.","ChIJVStLewUQ2jERSTFgUVDqjBU",8PMR+V2 Singapore,6PH58PMR+V2,"131 Jurong East Street 13",NA,NA
"1284",  1.334752,103.739295,  1.336302,103.740745,  1.333604,103.738047,"OPERATIONAL","MQ Bee Pte Ltd","ChIJvaEbTdoR2jER6BATHfv7zyg",8PMQ+WP Singapore,6PH58PMQ+WP,"130 Jurong Gateway Road, Singapore",NA,NA
"1285",  1.325226,103.724550,  1.326544,103.725906,  1.323846,103.723208,"OPERATIONAL","FairPrice Xpress","ChIJMZD4XEMF2jER2Tu484YsvlU",8PGF+3R Singapore,6PH58PGF+3R,"302 Jalan Ahmad Ibrahim",1.0,NA
"1286",  1.336637,103.737651,  1.337989,103.738818,  1.335291,103.736120,"OPERATIONAL","7-Eleven + Mr Softee","ChIJEfpFCMMR2jER2Hv0m16_E3M",8PPQ+M3 Singapore,6PH58PPQ+M3,"104 Jurong East Street 13, #01-110 Block 104, Singapore",NA,NA
"1287",  1.335511,103.746979,  1.336886,103.748565,  1.334188,103.745867,"OPERATIONAL","7-Eleven","ChIJBwI06RIR2jER5t2p_u-yimc",8PPW+6Q Singapore,6PH58PPW+6Q,"2 Jurong East Street 21, #01 - 82 IMM Building",NA,NA
"1288",  1.307305,103.728623,  1.308694,103.730118,  1.305996,103.727420,"OPERATIONAL","Take n Go AI Mart","ChIJa8KbS5UF2jERPByngxmyaDc",8P4H+WC Singapore,6PH58P4H+WC,"62 Penjuru Lane",NA,NA
"1289",  1.336796,103.742978,  1.338224,103.744327,  1.335526,103.741629,"OPERATIONAL","Yuan Cheng Mini-Supermart","ChIJBbu0LhAQ2jER7XTHG3IuNSk",8PPV+P5 Singapore,6PH58PPV+P5,"202 Jurong East Street 21",NA,NA
"1290",  1.337257,103.737676,  1.338601,103.738831,  1.335903,103.736133,"OPERATIONAL","Heji Sundry Goods Trading","ChIJVVWF2BoQ2jERsoVAyl4KrZg",8PPQ+W3 Singapore,6PH58PPQ+W3,"106 Jurong East Street 13, #01-K1, 600106",NA,NA
"1291",  1.337257,103.737676,  1.338601,103.738831,  1.335903,103.736133,"OPERATIONAL","Lim Joo San","ChIJA-YO2BoQ2jERUc-efCTE3xM",8PPQ+W3 Singapore,6PH58PPQ+W3,"106 Jurong East Street 13, Block 106 Block 106",NA,NA
"1292",  1.312836,103.723967,  1.314279,103.725010,  1.311581,103.722313,"OPERATIONAL","BeerStyle","ChIJO-3F8EsF2jERbXI1T0tcjqw",8P7F+4H Singapore,6PH58P7F+4H,"1 Fishery Port Road",NA,NA
"1293",  1.323424,103.721774,  1.324874,103.723106,  1.322176,103.720408,"OPERATIONAL","Shell","ChIJ5T1UvlYF2jER062tGaWvNN8",8PFC+9P Singapore,6PH58PFC+9P,"311 Jalan Ahmad Ibrahim",3.7,NA
"1294",  1.323503,103.721767,  1.324913,103.723102,  1.322215,103.720404,"OPERATIONAL","Shell Select","ChIJb9G7aVQF2jERDLv7-MHx3vk",8PFC+CP Singapore,6PH58PFC+CP,"311 Jalan Ahmad Ibrahim, Singapura",NA,NA
