"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"1231",  1.278301,103.860595,  1.279404,103.862004,  1.276706,103.859307,"OPERATIONAL","Serene Garden Pavilion","ChIJwSyjCg4Z2jERwSvRKerA0HQ",7VH6+86 Singapore,6PH57VH6+86,"18 Marina Gardens Drive",NA,NA
"1232",  1.301719,103.860653,  1.303077,103.862017,  1.300380,103.859319,"OPERATIONAL","Sultan Gate Park","ChIJ2VEa-HMZ2jER_tf6-gRjxXY",8V26+M7 Singapore,6PH58V26+M7,"Sultan Gate Park, Sultan Gate",NA,NA
"1233",  1.283095,103.863520,  1.284434,103.864891,  1.281736,103.862194,NA,"Chinese Garden","ChIJfcpslQMZ2jER3BZcpH8Id2Y",NA,NA,"Singapore",NA,NA
"1234",  1.283347,103.864290,  1.284624,103.865671,  1.281926,103.862973,NA,"Indian Garden","ChIJwenZxwMZ2jERjoPusFPOGeM",NA,NA,"Singapore",NA,NA
"1235",  1.282476,103.863022,  1.283810,103.864348,  1.281112,103.861650,NA,"Malay Garden","ChIJZQXnmgMZ2jERmuFzvsS7OsE",NA,NA,"Singapore",NA,NA
"1236",  1.282649,103.864879,  1.283999,103.866265,  1.281301,103.863567,NA,"Secret Life of Trees","ChIJL5qLsgMZ2jEROETFS2sHdHA",NA,NA,"Singapore",NA,NA
"1237",  1.266685,103.821172,  1.268023,103.822535,  1.265325,103.819837,"OPERATIONAL","Marang Trail","ChIJO8_M5OEb2jERI5Q-BqYWOgE",7R8C+MF Singapore,6PH57R8C+MF,"45 Marang Road",4.5,NA
"1238",  1.255798,103.820261,  1.257147,103.821610,  1.254449,103.818912,"OPERATIONAL","Lake of Dreams","ChIJydOREv4b2jER1A3SoHvEtFM",7R4C+84 Singapore,6PH57R4C+84,"32 Sentosa Gateway",4.1,NA
"1239",  1.266467,103.811585,  1.268250,103.812980,  1.265552,103.810282,"OPERATIONAL","Reflections Promenade","ChIJHwVpcpsb2jER8pHC1MCP9Oc",7R86+HJ Singapore,6PH57R86+HJ,"13 Keppel Bay View, Singapore",5.0,NA
"1240",  1.270447,103.821246,  1.271796,103.822595,  1.269098,103.819897,"OPERATIONAL","Bukit Merah","ChIJ743r0Ogb2jERIJPnGc0yQhQ",7RCC+5F Singapore,6PH57RCC+5F,"",4.0,NA
"1241",  1.272970,103.820748,  1.274402,103.822183,  1.271704,103.819485,"OPERATIONAL","Mount Faber Grace Park","ChIJx0mpd98b2jERsaXOHQUzR6A",7RFC+57 Singapore,6PH57RFC+57,"Telok Blangah Rise",3.0,NA
"1242",  1.265435,103.819930,  1.266896,103.821318,  1.264198,103.818620,"OPERATIONAL","Harbour Front Centre Smoking Corner","ChIJnVcdaiIb2jERYHSwACWnbd8",7R89+5X Singapore,6PH57R89+5X,"1 Maritime Square, Singapore",NA,NA
"1243",  1.275651,103.820165,  1.277015,103.821486,  1.274317,103.818788,"OPERATIONAL","Mural - Sang Nila Utama","ChIJb37yfaAb2jERc-k0Rj9Y7yI",7RGC+73 Singapore,6PH57RGC+73,"1 Telok Blangah Crescent, Singapore",3.0,NA
"1244",  1.277677,103.813174,  1.279097,103.814631,  1.276399,103.811933,"OPERATIONAL","Therapeutic Garden","ChIJnbQj0MUb2jERNYEMe-kvB08",7RH7+37 Singapore,6PH57RH7+37,"Telok Blangah Green",4.6,NA
"1245",  1.277199,103.811213,  1.278412,103.812504,  1.275714,103.809806,"OPERATIONAL","Stream Garden","ChIJU9q_I9sb2jER8I5ikRjb3OE",7RG6+VF Singapore,6PH57RG6+VF,"70B Telok Blangah Heights, Singapore 102070 Telok Blangah Heights, Singapore",3.8,NA
"1246",  1.271811,103.823098,  1.273386,103.824441,  1.270688,103.821743,"OPERATIONAL","Telok Blangah Rise Square","ChIJ96NH2FsZ2jERdJYwh7LI3sE",7RCF+P6 Singapore,6PH57RCF+P6,"Singapore",NA,NA
