"","geometry.location.lat","geometry.location.lng","geometry.viewport.northeast.lat","geometry.viewport.northeast.lng","geometry.viewport.southwest.lat","geometry.viewport.southwest.lng","business_status","name","place_id","plus_code.compound_code","plus_code.global_code","vicinity","rating","permanently_closed"
"252",  1.372335,103.893563,  1.373747,103.894850,  1.371049,103.892152,"OPERATIONAL","KFC","ChIJud-5-bMX2jER0RVb7K82NKw",9VCV+WC Singapore,6PH59VCV+WC,"90 Hougang Avenue 10 01-19 Hougang Mall, Singapore",3.7,NA
"253",  1.367465,103.890584,  1.368790,103.891878,  1.366092,103.889180,"OPERATIONAL","My Genie Gourmet","ChIJq-yODUoW2jERZAkXyB23uAk",9V8R+X6 Singapore,6PH59V8R+X6,"32 Lorong 1 Realty Park, Singapore",4.0,NA
"254",  1.379221,103.887616,  1.380482,103.888996,  1.377784,103.886298,"OPERATIONAL","Nit & Grit","ChIJHX5sHUEW2jERsgzcZ91Ba8U",9VHQ+M2 Singapore,6PH59VHQ+M2,"21 Hougang Street 51, #01-38 Green Shopping Mall",4.5,NA
"255",  1.362014,103.885648,  1.363372,103.887009,  1.360674,103.884311,"OPERATIONAL","Pizza Hut Delivery - Simon Road","ChIJxfAzg7QX2jERBYtWmXK9GoQ",9V6P+R7 Singapore,6PH59V6P+R7,"23 Simon Road",3.8,NA
"256",  1.361399,103.886192,  1.362713,103.887599,  1.360015,103.884901,"OPERATIONAL","Domino's Pizza Kovan","ChIJz-6XYrQX2jERgSRKB7s0g74",9V6P+HF Singapore,6PH59V6P+HF,"943 Upper Serangoon Road, Singapore",3.5,NA
"257",  1.359513,103.885412,  1.360702,103.886639,  1.358004,103.883941,"CLOSED_TEMPORARILY","Old Chang Kee Heartland Mall","ChIJud-5-bMX2jERxtOLW2wnK2o",9V5P+R5 Singapore,6PH59V5P+R5,"205 Hougang Street 21, Heartland Mall Kovan",3.6,TRUE
"258",  1.372514,103.893783,  1.373871,103.894951,  1.371173,103.892253,"OPERATIONAL","Stuff'd","ChIJRW2mmTcW2jEREQ5fRbdPf6Q",9VFV+2G Singapore,6PH59VFV+2G,"Hougang Mall, Hougang Avenue 10, #01-38 90",4.2,NA
"259",  1.370946,103.894680,  1.372417,103.895714,  1.369719,103.893016,"OPERATIONAL","Hock Kee Bird Nest Drinks","ChIJd8AmChsX2jERzeaLUxy7QNI",9VCV+9V Singapore,6PH59VCV+9V,"Blk 804 Hougang Central, #01-130",3.9,NA
"260",  1.377358,103.903745,  1.378481,103.905046,  1.375783,103.902348,"OPERATIONAL","Texas Chicken (Hougang Capeview)","ChIJ4UlPpCQW2jERXn7opo_OllA",9WG3+WF Singapore,6PH59WG3+WF,"#02-17 Upper Serangoon View, Blk 476, Singapore",4.5,NA
"261",  1.365674,103.894779,  1.367122,103.896161,  1.364424,103.893463,"OPERATIONAL","Overly Cheezy","ChIJdSn9exoX2jERj_Tiwlkh1cc",9V8V+7W Singapore,6PH59V8V+7W,"Hougang Avenue 5, #01-189 Block 311",3.7,NA
"262",  1.361846,103.887201,  1.363244,103.888507,  1.360546,103.885809,"CLOSED_TEMPORARILY","Chiksoo Korean Kitchen (Kovan)","ChIJt6y2R3kX2jERyd0ScNHioWA",9V6P+PV Singapore,6PH59V6P+PV,"988 Upper Serangoon Road, #01-34",4.6,TRUE
"263",  1.361810,103.887354,  1.363254,103.888616,  1.360556,103.885918,"OPERATIONAL","See You Latte","ChIJ65OMytAX2jEREpEE-5QHDVQ",9V6P+PW Singapore,6PH59V6P+PW,"988 Upper Serangoon Road, #01-15 Stars of Kovan",4.3,NA
"264",  1.359581,103.885255,  1.360728,103.886558,  1.358030,103.883860,"OPERATIONAL","Snackz It! @ Kovan Heartland Mall","ChIJfc5P-LMX2jERcFZp6BFvSg4",9V5P+R4 Singapore,6PH59V5P+R4,"Hougang Street 21, Level 1 Heartland Mall, 530205, No. 205",4.2,NA
"265",  1.359329,103.885453,  1.360528,103.886891,  1.357830,103.884193,"OPERATIONAL","JueWei","ChIJoWIv3FMX2jERjHfKpk7Gp1M",9V5P+P5 Singapore,6PH59V5P+P5,"205 Hougang Street 21, #01-K4, Singapore",NA,NA
"266",  1.378343,103.942622,  1.379607,103.943906,  1.376909,103.941208,"OPERATIONAL","Canadian 2 For 1 Pizza","ChIJUUR_sL492jERWt4bgwiinCg",9WHV+82 Singapore,6PH59WHV+82,"93 Pasir Ris Drive 3, #01-06, Pasir Ris Elias Community Club, Singapore",3.4,NA
"267",  1.378614,103.942044,  1.380340,103.943122,  1.377642,103.940424,"OPERATIONAL","Domino's Pizza","ChIJZdXwlb492jERz0HaZKBBMjw",9WHR+CR Singapore,6PH59WHR+CR,"625 Elias Road, #01-312 Elias Mall, Singapore",3.9,NA
"268",  1.372687,103.949454,  1.373737,103.950792,  1.371039,103.948094,"OPERATIONAL","Old Chang Kee","ChIJHeeu2LU92jERAVwccnlXY6s",9WFX+3Q Singapore,6PH59WFX+3Q,"1 Pasir Ris Central Street 3, #01 - 42",4.2,NA
"269",  1.375387,103.930532,  1.376855,103.931955,  1.374157,103.929257,"OPERATIONAL","New Ubin Seafood Tampines","ChIJCUirCdQ92jEReYaQth4wSqU",9WGJ+56 Singapore,6PH59WGJ+56,"18 Tampines Industrial Crescent, #01-16",3.7,NA
"270",  1.365726,103.932052,  1.367111,103.933399,  1.364413,103.930701,"OPERATIONAL","Smart City Kitchens @ Tampines Food Co","ChIJT3TJdTU92jERqKMnxf2ezUo",9W8J+7R Singapore,6PH59W8J+7R,"10 Tampines North Drive 4, #01-05 JTC Space",3.7,NA
