,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,business_status,name,place_id,plus_code.compound_code,plus_code.global_code,vicinity
168,1.347379,103.871661,1.348585,103.873082,1.345887,103.870384,OPERATIONAL,Caltex Serangoon Avenue,ChIJv-bhp6EX2jERGUkPrs9KSfw,8VWC+XM Singapore,6PH58VWC+XM,559 Upper Serangoon Road
169,1.344578,103.864518,1.345773,103.865801,1.343075,103.863104,OPERATIONAL,Shell,ChIJeXit13QX2jERBnCWZed7WE4,8VV7+RR Singapore,6PH58VV7+RR,110 Braddell Road
170,1.357782,103.867901,1.359109,103.869402,1.356411,103.866704,OPERATIONAL,车停处,ChIJp1uSYQcX2jERZSikDgDjMCs,9V59+45 Singapore,6PH59V59+45,277 Lorong Chuan
171,1.347379,103.871661,1.348551,103.873067,1.345853,103.870369,OPERATIONAL,Caltex,ChIJzXLcp6EX2jERUeTBelcL8x4,8VWC+XM Singapore,6PH58VWC+XM,"559 Upper Serangoon Road, Singapore"
172,1.357832,103.875409,1.359048,103.876684,1.35635,103.873986,OPERATIONAL,SPC Yio Chu Kang,ChIJc8Omv64X2jERe3sfeR1HF0U,9V5G+45 Singapore,6PH59V5G+45,76 Yio Chu Kang Road
173,1.355724,103.880718,1.357216,103.882184,1.354518,103.879486,OPERATIONAL,Caltex Upper Serangoon,ChIJNytzPrAX2jERObwlY84kQuw,9V4J+77 Singapore,6PH59V4J+77,"818 Upper Serangoon Road, Singapore"
174,1.360723,103.873937,1.362062,103.875147,1.359364,103.872449,OPERATIONAL,Shell,ChIJcyU4dqwX2jERYaddFq2cLZs,9V6F+7H Singapore,6PH59V6F+7H,158 Yio Chu Kang Road
175,1.360991,103.873887,1.362313,103.87512,1.359615,103.872422,OPERATIONAL,ESSO YIO CHU KANG A,ChIJZQFneKwX2jERjv9QvE1IwuU,9V6F+9H Singapore,6PH59V6F+9H,160 Yio Chu Kang Road
176,1.349319,103.89012,1.350819,103.891322,1.348122,103.888624,OPERATIONAL,Shell,ChIJfYr5M78X2jERsV-WMVujC48,8VXR+P2 Singapore,6PH58VXR+P2,600 Hougang Avenue 3
177,1.331865,103.880311,1.333225,103.881658,1.330527,103.87896,OPERATIONAL,SPC Macpherson,ChIJ1wVfQ48X2jERE5FiMdJVqzA,8VJJ+P4 Singapore,6PH58VJJ+P4,429 MacPherson Road
178,1.331111,103.877799,1.332388,103.879062,1.32969,103.876364,OPERATIONAL,Shell,ChIJLerW2IUX2jERaAM0i5Gk4yA,8VJH+C4 Singapore,6PH58VJH+C4,259 MacPherson Road
179,1.33263,103.883664,1.333857,103.885078,1.331159,103.88238,OPERATIONAL,Caltex MacPherson 465,ChIJ45jHV4AX2jER6jxgNAyuv7E,8VMM+3F Singapore,6PH58VMM+3F,465 MacPherson Road
180,1.337139,103.897815,1.338714,103.899331,1.336016,103.896633,OPERATIONAL,ALCADES ( Robert Khoo ),ChIJRy0ZMZA92jERVeMwsyVSNgE,8VPX+V4 Singapore,6PH58VPX+V4,7 Kaki Bukit Road 2
181,1.331767,103.888831,1.333083,103.890371,1.330385,103.887673,OPERATIONAL,Shell,ChIJvzb3jowX2jERgkBGQXDrvAY,8VJQ+PG Singapore,6PH58VJQ+PG,255 Paya Lebar Road
182,1.331872,103.880318,1.333226,103.881666,1.330528,103.878968,OPERATIONAL,SINGAPORE PETROLEUM COMPANY LIMITED,ChIJUwVTW48X2jERrwa-oNBsFdQ,8VJJ+P4 Singapore,6PH58VJJ+P4,429 MacPherson Road
183,1.332305,103.878956,1.333722,103.880216,1.331025,103.877518,OPERATIONAL,Esso Upper Aljunied,ChIJjRLLjYUX2jERxP3En_Jek_E,8VJH+WH Singapore,6PH58VJH+WH,373 Upper Aljunied Road
184,1.349375,103.928443,1.350702,103.929939,1.348004,103.927241,OPERATIONAL,Caltex Tampines Ave 8,ChIJP_k_02g92jERY5l4jhZVBIk,8WXH+Q9 Singapore,6PH58WXH+Q9,1 Tampines Avenue 8
185,1.348607,103.938533,1.349915,103.939929,1.347217,103.937231,OPERATIONAL,SPC Tampines,ChIJeU-6uxQ92jERhnscHNcMqNA,8WXQ+CC Singapore,6PH58WXQ+CC,10 Tampines Avenue 4
186,1.349193,103.9477,1.350453,103.949251,1.347755,103.946553,OPERATIONAL,Shell,ChIJheXwSRc92jERa0HWP_Os13o,8WXX+M3 Singapore,6PH58WXX+M3,9 Tampines Avenue 2
187,1.328202,103.939548,1.329545,103.941033,1.326847,103.938335,OPERATIONAL,Esso,ChIJf1gVCDU92jERgQx1PDxEfNg,8WHQ+7R Singapore,6PH58WHQ+7R,99 Bedok North Road
188,1.341131,103.941874,1.342368,103.943292,1.33967,103.940594,OPERATIONAL,Trisonic Authorised Car Servicing Workshop( Tampines ),ChIJ86SbRmE92jERWbn0h0la_gc,8WRR+FP Singapore,6PH58WRR+FP,"9002 Tampines Street 93, #01-74"
189,1.327927,103.939713,1.329228,103.94121,1.32653,103.938512,OPERATIONAL,SPC Bedok,ChIJI1OJBTU92jERe9DaszcH1sE,8WHQ+5V Singapore,6PH58WHQ+5V,101 Bedok North Road
190,1.320479,103.916078,1.321744,103.91755,1.319046,103.914852,OPERATIONAL,Esso,ChIJFz9mlKki2jERoXW3foCsEcg,8WC8+5C Singapore,6PH58WC8+5C,649 Changi Road
191,1.322286,103.932389,1.323621,103.933675,1.320923,103.930977,OPERATIONAL,ESSO BEDOK SOUTH,ChIJM61ncrQi2jER64rzH1OVJnA,8WCJ+WX Singapore,6PH58WCJ+WX,799 Bedok South Avenue 1
192,1.330824,103.9476,1.332205,103.948997,1.329507,103.946299,OPERATIONAL,Shell,ChIJl8GhizE92jERZJqznn9Z6iE,8WJX+82 Singapore,6PH58WJX+82,331 Bedok Road
193,1.318081,103.832086,1.319525,103.83351,1.316827,103.830812,OPERATIONAL,SPC Bukit Timah,ChIJ53nOvfoZ2jERhXgiW2rhHVY,8R9J+6R Singapore,6PH58R9J+6R,"SG, Bukit Timah Road, 331"
194,1.318782,103.833132,1.320044,103.834454,1.317346,103.831756,OPERATIONAL,Caltex Dunearn,ChIJNXjqM-UZ2jERIVPW6WAI38Q,8R9M+G7 Singapore,6PH58R9M+G7,130 Dunearn Road
195,1.316194,103.836862,1.317488,103.83815,1.31479,103.835452,OPERATIONAL,ESSO NEWTON,ChIJT0dXcu8Z2jERY03d3fMt6PA,8R8P+FP Singapore,6PH58R8P+FP,30 Dunearn Road
196,1.318901,103.849791,1.320393,103.851193,1.317695,103.848495,OPERATIONAL,Shell,ChIJX0vOjdwZ2jERIQkbcKw_7dA,8R9X+HW Singapore,6PH58R9X+HW,103 Moulmein Road
